townname,state_id
Anniston ,1
Birmingham ,1
Cullman ,1
Decatur ,1
Dothan ,1
Fairhope ,1
Florence ,1
Gadsden ,1
Gardendale ,1
Homewood ,1
Huntsville ,1
Jasper ,1
Madison ,1
Mobile ,1
Montgomery ,1
Selma ,1
Tuscaloosa ,1
Anthem ,3
Avondale ,3
Camp ,3
Verde ,3
Casa ,3
Grande ,3
Chandler ,3
Chino ,3
Valley ,3
Cottonwood ,3
Flagstaff ,3
Gilbert ,3
Glendale ,3
Gold ,3
Canyon ,3
Goodyear,3
Green ,3
Valley ,3
Higley ,3
Litchfield ,3
Park ,3
Mayer ,3
Mesa ,3
Oro ,3
Valley ,3
Peoria ,3
Phoenix ,3
Prescott ,3
Scottsdale,3
Sedona ,3
Sierra ,3
Vista ,3
Sun ,3
City ,3
Sun ,3
City ,3
West ,3
Sun ,3
Lakes ,3
Surprise ,3
Tempe ,3
Tucson ,3
Yuma ,3